number,city,area,name,set,address,x,y,tel
1,基隆市,仁愛區,基隆市仁愛區仁愛國民小學附設幼兒園,公立,基隆市仁愛區仁二路139號,121.746008,25.127959,(02)24291585
2,基隆市,仁愛區,基隆市仁愛區南榮國民小學附設幼兒園,公立,基隆市仁愛區南榮路321號,121.743896,25.119363,(02)24223038#60
3,基隆市,仁愛區,基隆市仁愛區成功國民小學附設幼兒園,公立,基隆市仁愛區獅球路6號,121.738463,25.12582,(02)24313939
4,基隆市,仁愛區,基隆市信義區信義國民小學附設幼兒園,公立,基隆市仁愛區仁二路135號,121.746796,25.127488,(02)24213960#60
5,基隆市,仁愛區,基隆市立安心幼兒園光華分班,公立,基隆市仁愛區成功一路131號1樓,121.736356,25.12797,(02)24338392
6,基隆市,仁愛區,基隆市私立人愛幼兒園,私立,基隆市仁愛區仁一路261之8號及261之1號2樓之1,121.748444,25.128195,(02)24286565
7,基隆市,仁愛區,基隆市私立維也納幼兒園,私立,基隆市仁愛區南榮路22號2樓,121.742597,25.125547,(02)24270425
8,基隆市,仁愛區,基隆市私立雙全幼兒園,私立,基隆市仁愛區南榮路393巷19之1號,121.744596,25.118282,(02)24271420
9,基隆市,仁愛區,基隆市私立筌勝幼兒園,私立,基隆市仁愛區愛五路19巷34號,121.745029,25.129009,(02)24269408
10,基隆市,仁愛區,基隆市南榮非營利幼兒園(委託財團法人伊甸社會福利基金會辦理),非營利,基隆市仁愛區南榮路319巷36號,121.745536,25.120781,(02)24280690
11,基隆市,信義區,基隆市信義區東光國民小學附設幼兒園,公立,基隆市信義區東信路236巷16號,121.763017,25.12957398,(02)24650329#60
12,基隆市,信義區,基隆市信義區東信國民小學附設幼兒園,公立,基隆市信義區正信路26號,121.760548,25.132076,(02)24652133#60
13,基隆市,信義區,基隆市信義區中興國民小學附設幼兒園,公立,基隆市信義區信二路40號,121.756451,25.128907,(02)24225038#60
14,基隆市,信義區,基隆市信義區深澳國民小學附設幼兒園,公立,基隆市信義區深澳坑路55-1號,121.783458,25.128762,(02)24652940#60
15,基隆市,信義區,基隆市信義區深美國民小學附設幼兒園,公立,基隆市信義區深美街198號,121.777308,25.137471,(02)24654821#60
16,基隆市,信義區,基隆市信義區月眉國民小學附設幼兒園,公立,基隆市信義區月眉路250巷22號,121.756769,25.124541,(02)24653493#60
17,基隆市,信義區,基隆市私立新美幼兒園,私立,基隆市信義區深溪路41號1-4樓,121.781816,25.132448,(02)24663079
18,基隆市,信義區,基隆市私立道生幼兒園,私立,基隆市信義區東光路261-17號,121.769547,25.132093,(02)24650077
19,基隆市,信義區,基隆市私立柴爾德幼兒園,私立,基隆市信義區仁一路27號3樓之1、2,121.755142,25.12779,(02)24255535
20,基隆市,信義區,基隆市私立哈博士幼兒園,私立,基隆市信義區深美街175號1-3樓,121.777886,25.136799,(02)24682222
21,基隆市,信義區,財團法人天主教會台北教區基隆市私立若石幼兒園,私立,基隆市信義區信一路66號,121.752112,25.12854,(02)24223485
22,基隆市,信義區,基隆市私立培利園幼兒園,私立,基隆市信義區深溪路55巷48號,121.781192,25.133624,(02)24660417
23,基隆市,信義區,基隆市私立森美幼兒園,私立,基隆市信義區深溪路141、143、145號,121.782959,25.134647,(02)24683535
24,基隆市,信義區,基隆市私立啟賢幼兒園,私立,基隆市信義區正信路24之54號,121.7613492,25.13170636,(02)24651788
25,基隆市,信義區,基隆市私立嘉美幼兒園,私立,基隆市信義區深溪路66號1-3樓,121.782387,25.132584,(02)24663786
26,基隆市,信義區,基隆市私立薇莘幼兒園,私立,基隆市信義區孝東路108號1樓,121.780799,25.127763,(02)24680769
27,基隆市,信義區,社團法人新竹市教保人員協會附設基隆市私立信義非營利幼兒園(基隆市政府委託辦理),非營利,基隆市信義區東信路4號,121.768202,25.129404,(02)24650418
28,基隆市,中正區,基隆市中正區和平國民小學附設幼兒園,公立,基隆市中正區和一路84巷26號,121.766088,25.155642,(02)24621477#60
29,基隆市,中正區,基隆市中正區正濱國民小學附設幼兒園,公立,基隆市中正區祥豐街216號,121.770413,25.14636,(02)24635552#61
30,基隆市,中正區,基隆市中正區忠孝國民小學附設幼兒園,公立,基隆市中正區中正路656巷150號,121.766729,25.148876,(02)24622934#60
31,基隆市,中正區,基隆市中正區中正國民小學附設幼兒園,公立,基隆市中正區中船路36巷4號,121.751119,25.135677,(02)24223064#60
32,基隆市,中正區,基隆市中正區八斗國民小學附設幼兒園,公立,基隆市中正區北寧路396巷52號,121.797203,25.138062,(02)24696797
33,基隆市,中正區,基隆市立安心幼兒園八斗分班,公立,基隆市中正區八斗街57號2樓,121.796674,25.143228,(02)24692665
34,基隆市,中正區,基隆市私立小太陽幼兒園,私立,基隆市中正區義一路87號2樓之2、2樓之3、 89號1樓,121.746654,25.134696,(02)24234000
35,基隆市,中正區,基隆市私立文馨義一幼兒園,私立,基隆市中正區義一路130號2樓,121.747018,25.134777,(02)24254518
36,基隆市,中正區,基隆市私立何佳仁幼兒園,私立,基隆市中正區信二路276號,121.746734,25.13115,(02)24211628
37,基隆市,中正區,基隆市私立培利安幼兒園,私立,基隆市中正區新豐街510號1、2樓,121.784758,25.135453,(02)24601212
38,基隆市,中正區,基隆市私立海大幼兒園,私立,基隆市中正區新豐街251巷9弄1號,121.788776,25.134733,(02)24697979
39,基隆市,中正區,財團法人天主教會台北教區附設基隆市私立亨利幼兒園,私立,基隆市中正區祥豐街43號,121.761602,25.141441,(02)24620215
40,基隆市,中正區,基隆市私立資優幼兒園,私立,基隆市中正區正義路2巷42號,121.749154,25.133519,(02)24253228
41,基隆市,中正區,基隆市私立愷昀幼兒園,私立,基隆市中正區正義路2巷40號2樓、40、41號3樓,121.749075,25.133393,(02)24253228
42,基隆市,中正區,基隆市成長非營利幼兒園(委託財團法人成長文教基金會辦理),非營利,基隆市中正區正榮街88號,121.762913,25.146231,928595092
43,基隆市,中山區,基隆市中山區仙洞國民小學附設幼兒園,公立,基隆市中山區仁安街141號,121.746616,25.14731,(02)24262012
44,基隆市,中山區,基隆市中山區港西國民小學附設幼兒園,公立,基隆市中山區中山一路291巷45號,121.740101,25.136109,(02)24243032
45,基隆市,中山區,基隆市中山區中山國民小學附設幼兒園,公立,基隆市中山區通仁街28號,121.737746,25.145886,(02)24223053#64
46,基隆市,中山區,基隆市中山區中和國民小學附設幼兒園,公立,基隆市中山區中和路64號,121.720382,25.146162,(02)24371751#60
47,基隆市,中山區,基隆市中山區德和國民小學附設幼兒園,公立,基隆市中山區文化路164號,121.730231,25.155106,(02)24278095#60
48,基隆市,中山區,基隆市中山區中華國民小學附設幼兒園,公立,基隆市中山區中華路46巷26號,121.738344,25.149432,(02)24257800
49,基隆市,中山區,輔仁大學學校財團法人基隆市輔大聖心高級中學附設私立幼兒園,私立,基隆市中山區西定路166號,121.733536,25.13558,(02)24277281
50,基隆市,中山區,基隆市私立蒙特梭利幼兒園,私立,基隆市中山區德安路79之4號,121.724453,25.150963,(02)24373916
51,基隆市,中山區,基隆市私立愛米爾幼兒園,私立,基隆市中山區中和路70巷1號,121.719523,25.147254,(02)24371212
52,基隆市,中山區,基隆市私立向日葵幼兒園,私立,基隆市中山區中和路97之1、97之2號2樓,121.720319,25.147428,(02)24379900
53,基隆市,中山區,私立經國管理暨健康學院附設基隆市幼兒園,私立,基隆市中山區復興路336號,121.728987,25.150901,(02)24372093#605
54,基隆市,中山區,基隆市私立自立幼兒園,私立,基隆市中山區復興路212巷19弄4、6、8、10、12、14號1樓,121.726721,25.148337,(02)24371285
55,基隆市,中山區,基隆市中山非營利幼兒園(委託財團法人伊甸社會福利基金會辦理),非營利,基隆市中山區通仁街28號,121.737746,25.145886,937837989
56,基隆市,安樂區,基隆市安樂區建德國民小學附設幼兒園,公立,基隆市安樂區安和一街392號,121.722075,25.124867,(02)24334216#1060
57,基隆市,安樂區,基隆市安樂區武崙國民小學附設幼兒園,公立,基隆市安樂區武崙街203號,121.707344,25.138812,(02)24310018#61
58,基隆市,安樂區,基隆市安樂區長樂國民小學附設幼兒園,公立,基隆市安樂區樂利三街30巷123號,121.711619,25.126042,(02)24322765#65
59,基隆市,安樂區,基隆市安樂區隆聖國民小學附設幼兒園,公立,基隆市安樂區武隆街107號,121.693625,25.155913,(02)24311480#60
60,基隆市,安樂區,基隆市立建德幼兒園,公立,基隆市安樂區安和一街7號,121.722918,25.122057,(02)24316118#29
